"ligand","receptor","LR pair"
"SLC40A1","HAMP","SLC40A1 - HAMP"
"KCNIP1","KCNIP2","KCNIP1 - KCNIP2"
"FBLN5","SERPINE1","FBLN5 - SERPINE1"
"CGB","CGA","CGB - CGA"
"MMP7","ELN","MMP7 - ELN"
"TNFSF14","TNFRSF14","TNFSF14 - TNFRSF14"
"ELN","LOX","ELN - LOX"
"ELN","BGN","ELN - BGN"
"ELN","FBN2","ELN - FBN2"
"COL4A3","ITGA3","COL4A3 - ITGA3"
"SERPINE2","COL4A2","SERPINE2 - COL4A2"
"COL4A3","SAA2","COL4A3 - SAA2"
"MASP1","C2","MASP1 - C2"
"MASP1","SERPING1","MASP1 - SERPING1"
"SERPINE2","F2","SERPINE2 - F2"
"FGF10","FGFR2","FGF10 - FGFR2"
"IL12B","IL12RB1","IL12B - IL12RB1"
"MMP7","NGF","MMP7 - NGF"
"IGFBP3","KLKB1","IGFBP3 - KLKB1"
"NR2C2","ESR1","NR2C2 - ESR1"
"BGN","BMP4","BGN - BMP4"
"FGF10","FGFBP1","FGF10 - FGFBP1"
"EBP","ESRRG","EBP - ESRRG"
"AGTRAP","AGTR1","AGTRAP - AGTR1"
"ITGAV","ITGB3","ITGAV - ITGB3"
"CD40LG","ITGA5","CD40LG - ITGA5"
"ITGAV","IL32","ITGAV - IL32"
"BGN","APOB","BGN - APOB"
"BGN","COL1A2","BGN - COL1A2"
"ITGAV","ITGB8","ITGAV - ITGB8"
"ENPP1","INSR","ENPP1 - INSR"
"ITGAV","MMP2","ITGAV - MMP2"
"BGN","TGFB1","BGN - TGFB1"
"ITGAV","F2R","ITGAV - F2R"
"FST","INHBE","FST - INHBE"
"CNTFR","CRLF1","CNTFR - CRLF1"
"CNTFR","CLCF1","CNTFR - CLCF1"
"ACHE","LAMA1","ACHE - LAMA1"
"ACHE","ACHE","ACHE - ACHE"
"PTPRZ1","CNTN1","PTPRZ1 - CNTN1"
"SSTR5","SSTR5","SSTR5 - SSTR5"
"MST1R","PLXNB1","MST1R - PLXNB1"
"MST1R","PLXNB2","MST1R - PLXNB2"
"ITGAM","PLAUR","ITGAM - PLAUR"
"ITGB8","TGFB1","ITGB8 - TGFB1"
"ITGAM","JAM3","ITGAM - JAM3"
"PTPRZ1","PTN","PTPRZ1 - PTN"
"GRIA2","GRIA3","GRIA2 - GRIA3"
"CD40LG","CD40LG","CD40LG - CD40LG"
"ANGPTL7","ANGPTL7","ANGPTL7 - ANGPTL7"
"GRIK2","CASK","GRIK2 - CASK"
"GRIK2","GRIK5","GRIK2 - GRIK5"
"PGR","PGR","PGR - PGR"
"IL37","IL18BP","IL37 - IL18BP"
"CALCR","MBL2","CALCR - MBL2"
"USH2A","COL4A3","USH2A - COL4A3"
"CCL11","ACKR2","CCL11 - ACKR2"
"INHBC","ACVR2B","INHBC - ACVR2B"
"PTPRB","PTPRB","PTPRB - PTPRB"
"APP","GSN","APP - GSN"
"NR3C1","NTRK2","NR3C1 - NTRK2"
"HNF4A","HNF4A","HNF4A - HNF4A"
"GPR151","GAL","GPR151 - GAL"
"LAMB3","THBS1","LAMB3 - THBS1"
"EFNB1","EFNB1","EFNB1 - EFNB1"
"INHBA","ACVR2B","INHBA - ACVR2B"
"BMPR1A","BMP2","BMPR1A - BMP2"
"PGR","HSP90AA1","PGR - HSP90AA1"
"BMPR1A","BMP5","BMPR1A - BMP5"
"CD2","LGALS1","CD2 - LGALS1"
"IL20RA","IL20RA","IL20RA - IL20RA"
"PVR","PLA2G3","PVR - PLA2G3"
"CCR2","CCR5","CCR2 - CCR5"
"CCR2","CCL11","CCR2 - CCL11"
"CFH","ADM","CFH - ADM"
"PTPRB","CNTN1","PTPRB - CNTN1"
"INHBA","INHBB","INHBA - INHBB"
"NRP2","SEMA4F","NRP2 - SEMA4F"
"PTPRB","PTN","PTPRB - PTN"
"IL7R","CRLF2","IL7R - CRLF2"
"IL7R","TSLP","IL7R - TSLP"
"PGF","PGF","PGF - PGF"
"PGF","VEGFA","PGF - VEGFA"
"CCR2","CCR2","CCR2 - CCR2"
"FCGR3B","APCS","FCGR3B - APCS"
"IL6","IL6R","IL6 - IL6R"
"RBP4","TTR","RBP4 - TTR"
"IL18","IFNG","IL18 - IFNG"
"DST","ITGB4","DST - ITGB4"
"PTPRC","MBL2","PTPRC - MBL2"
"TGFBR2","TGFBR1","TGFBR2 - TGFBR1"
"NR1H2","COL4A5","NR1H2 - COL4A5"
"NR1H2","LAMC3","NR1H2 - LAMC3"
"PTPRC","PTPRC","PTPRC - PTPRC"
"EGFR","CDH1","EGFR - CDH1"
"EGFR","EGFR","EGFR - EGFR"
"NR4A2","RXRB","NR4A2 - RXRB"
"NR4A2","RXRA","NR4A2 - RXRA"
"FN1","CRP","FN1 - CRP"
"FN1","COL4A6","FN1 - COL4A6"
"FN1","PRELP","FN1 - PRELP"
"FN1","ADAMTS4","FN1 - ADAMTS4"
"FN1","TAC1","FN1 - TAC1"
"FN1","TNFRSF11B","FN1 - TNFRSF11B"
"FN1","FST","FN1 - FST"
"FN1","FBLN2","FN1 - FBLN2"
"FN1","GSN","FN1 - GSN"
"FN1","IGFBP3","FN1 - IGFBP3"
"EGFR","PTPRS","EGFR - PTPRS"
"FN1","LPA","FN1 - LPA"
"FN1","KLK3","FN1 - KLK3"
"EDNRA","EDN3","EDNRA - EDN3"
"PLG","IGFBP3","PLG - IGFBP3"
"PLG","LAMA1","PLG - LAMA1"
"PLG","ANXA2","PLG - ANXA2"
"PLG","KNG1","PLG - KNG1"
"PLG","SERPINI1","PLG - SERPINI1"
"IL6","CRP","IL6 - CRP"
"IL8","MMP1","IL8 - MMP1"
"IL6","A2M","IL6 - A2M"
"IL7R","LGALS1","IL7R - LGALS1"
"FCAR","CD79A","FCAR - CD79A"
"TGFBR2","TGFB1","TGFBR2 - TGFB1"
"PCSK6","PCSK6","PCSK6 - PCSK6"
"HTR1A","HTR1A","HTR1A - HTR1A"
"IL6","HRH1","IL6 - HRH1"
"COL2A1","CHAD","COL2A1 - CHAD"
"IGF1","IGFBP6","IGF1 - IGFBP6"
"IGF1","IGFBP3","IGF1 - IGFBP3"
"VEGFA","NRP1","VEGFA - NRP1"
"VEGFA","NRP2","VEGFA - NRP2"
"VEGFA","SEMA3F","VEGFA - SEMA3F"
"APP","COL4A3","APP - COL4A3"
"GABRR2","GABRR1","GABRR2 - GABRR1"
"FBN1","FBN1","FBN1 - FBN1"
"SHBG","SHBG","SHBG - SHBG"
"SHBG","PTGDS","SHBG - PTGDS"
"C1QBP","F12","C1QBP - F12"
"C1QBP","PLSCR1","C1QBP - PLSCR1"
"SHBG","KLK4","SHBG - KLK4"
"NR1D2","NR1D1","NR1D2 - NR1D1"
"NISCH","ITGA5","NISCH - ITGA5"
"RARG","RXRA","RARG - RXRA"
"RARG","RXRB","RARG - RXRB"
"SPARC","SPARC","SPARC - SPARC"
"CCL13","CCR5","CCL13 - CCR5"
"KLRD1","KLRD1","KLRD1 - KLRD1"
"IL10RA","IL10","IL10RA - IL10"
"FBN1","VCAN","FBN1 - VCAN"
"CCL13","MMP1","CCL13 - MMP1"
"FBN1","ELN","FBN1 - ELN"
"FBN1","LTBP1","FBN1 - LTBP1"
"BMP15","BMP15","BMP15 - BMP15"
"EDAR","EDA","EDAR - EDA"
"SCUBE1","SCUBE1","SCUBE1 - SCUBE1"
"SCUBE1","SCUBE2","SCUBE1 - SCUBE2"
"SCUBE1","SCUBE3","SCUBE1 - SCUBE3"
"EFNA4","EPHA2","EFNA4 - EPHA2"
"CCR2","CCL7","CCR2 - CCL7"
"FBN1","EFEMP2","FBN1 - EFEMP2"
"P2RX7","CASK","P2RX7 - CASK"
"FBN1","IGFBP5","FBN1 - IGFBP5"
"FBN1","GRN","FBN1 - GRN"
"FBN1","TGFBI","FBN1 - TGFBI"
"FBN1","IGFBP7","FBN1 - IGFBP7"
"DST","CELSR3","DST - CELSR3"
"CFI","CFH","CFI - CFH"
"DMBT1","SFTPA1","DMBT1 - SFTPA1"
"IL2RG","IL4","IL2RG - IL4"
"IL17RA","IL17A","IL17RA - IL17A"
"APCS","FCGR3A","APCS - FCGR3A"
"APCS","FCGR1A","APCS - FCGR1A"
"APCS","COL4A1","APCS - COL4A1"
"PLA2G2A","VCAN","PLA2G2A - VCAN"
"PLA2G2A","PLA2G1B","PLA2G2A - PLA2G1B"
"CNTNAP1","NFASC","CNTNAP1 - NFASC"
"FN1","PDGFA","FN1 - PDGFA"
"COL2A1","THBS1","COL2A1 - THBS1"
"COL2A1","COL6A1","COL2A1 - COL6A1"
"EFNA4","EPHA5","EFNA4 - EPHA5"
"AGTRAP","AGTRAP","AGTRAP - AGTRAP"
"CFH","C3","CFH - C3"
"DCN","COL1A2","DCN - COL1A2"
"ELN","LYZ","ELN - LYZ"
"DCN","PLA2G2A","DCN - PLA2G2A"
"DCN","TGFB1","DCN - TGFB1"
"DCN","SFTPD","DCN - SFTPD"
"DCN","COL4A6","DCN - COL4A6"
"KIR2DL3","HLA-C","KIR2DL3 - HLA-C"
"CUBN","GIF","CUBN - GIF"
"CUBN","ALB","CUBN - ALB"
"RYR2","ALB","RYR2 - ALB"
"HMGB2","GZMA","HMGB2 - GZMA"
"HMGB2","PGR","HMGB2 - PGR"
"UTS2R","UTS2B","UTS2R - UTS2B"
"IL17RA","IL17RE","IL17RA - IL17RE"
"IL2RG","IL21","IL2RG - IL21"
"PLA2G2A","CRELD2","PLA2G2A - CRELD2"
"PTPRH","GHR","PTPRH - GHR"
"COL17A1","ITGB4","COL17A1 - ITGB4"
"FN1","MMP2","FN1 - MMP2"
"PLXND1","SEMA4A","PLXND1 - SEMA4A"
"FN1","COL6A1","FN1 - COL6A1"
"KLK13","SERPINF2","KLK13 - SERPINF2"
"IL18R1","IL1RAP","IL18R1 - IL1RAP"
"IL2RG","PLSCR1","IL2RG - PLSCR1"
"INSRR","INSR","INSRR - INSR"
"SLIT2","SLIT2","SLIT2 - SLIT2"
"APP","TGFB1","APP - TGFB1"
"JAG2","NOTCH2","JAG2 - NOTCH2"
"GPLD1","CD55","GPLD1 - CD55"
"NTRK2","NTRK2","NTRK2 - NTRK2"
"GRIP1","ESR1","GRIP1 - ESR1"
"FCGR3A","PTPRC","FCGR3A - PTPRC"
"FCGR3A","FCGR1A","FCGR3A - FCGR1A"
"GRIP1","GRIA2","GRIP1 - GRIA2"
"GRIP1","EPHA7","GRIP1 - EPHA7"
"NR3C1","MMP13","NR3C1 - MMP13"
"SLAMF1","SLAMF1","SLAMF1 - SLAMF1"
"PRDX4","A1BG","PRDX4 - A1BG"
"WFIKKN2","MSTN","WFIKKN2 - MSTN"
"RAMP1","CALCRL","RAMP1 - CALCRL"
"IL2RB","IL15RA","IL2RB - IL15RA"
"THBS4","THBS4","THBS4 - THBS4"
"CXCR4","ELANE","CXCR4 - ELANE"
"FCER2","CR2","FCER2 - CR2"
"CXCR4","CTSG","CXCR4 - CTSG"
"INHBB","INHBB","INHBB - INHBB"
"INHBB","ACVR1B","INHBB - ACVR1B"
"TBXA2R","TBXA2R","TBXA2R - TBXA2R"
"WFIKKN2","BMP3","WFIKKN2 - BMP3"
"JAG2","CACNA1A","JAG2 - CACNA1A"
"CST9L","CCR5","CST9L - CCR5"
"CXCR4","CXCR4","CXCR4 - CXCR4"
"HSP90B1","HSP90B1","HSP90B1 - HSP90B1"
"IL4R","IL13RA1","IL4R - IL13RA1"
"NR3C1","GRIP1","NR3C1 - GRIP1"
"FLRT2","FLRT2","FLRT2 - FLRT2"
"TNFRSF13C","TNFRSF13C","TNFRSF13C - TNFRSF13C"
"KLRC2","KLRD1","KLRC2 - KLRD1"
"IFNAR2","IL10","IFNAR2 - IL10"
"HNF4A","NR2C2","HNF4A - NR2C2"
"ESRRA","NR0B1","ESRRA - NR0B1"
"MUC20","MUC20","MUC20 - MUC20"
"VLDLR","LRPAP1","VLDLR - LRPAP1"
"LYZ","A2M","LYZ - A2M"
"MMP24","KISS1","MMP24 - KISS1"
"PTPRR","PTPRR","PTPRR - PTPRR"
"PTPRR","PDGFRB","PTPRR - PDGFRB"
"CXCR4","ITGA5","CXCR4 - ITGA5"
"FGFR2","FGF1","FGFR2 - FGF1"
"THBD","F2","THBD - F2"
"LRP8","LRPAP1","LRP8 - LRPAP1"
"LRP8","APOE","LRP8 - APOE"
"VLDLR","CLU","VLDLR - CLU"
"TNFRSF10A","TNFRSF10A","TNFRSF10A - TNFRSF10A"
"CCL8","ACKR2","CCL8 - ACKR2"
"FGL1","FGL1","FGL1 - FGL1"
"CFH","KLK1","CFH - KLK1"
"RUNX1","CSF2","RUNX1 - CSF2"
"RUNX1","RUNX1","RUNX1 - RUNX1"
"GRIN1","GRIN2B","GRIN1 - GRIN2B"
"GRIN1","LRP8","GRIN1 - LRP8"
"GRIN1","GRIN3A","GRIN1 - GRIN3A"
"APP","COL4A6","APP - COL4A6"
"APP","ACHE","APP - ACHE"
"APP","GPC1","APP - GPC1"
"APP","KNG1","APP - KNG1"
"CD74","CD74","CD74 - CD74"
"CD74","HLA-DQB1","CD74 - HLA-DQB1"
"MRAP2","MRAP","MRAP2 - MRAP"
"MRAP2","MC5R","MRAP2 - MC5R"
"SPARC","COL3A1","SPARC - COL3A1"
"EPHA4","FGFR1","EPHA4 - FGFR1"
"ROR2","FZD2","ROR2 - FZD2"
"HTR1D","HTR1D","HTR1D - HTR1D"
"IFNA2","IFNAR2","IFNA2 - IFNAR2"
"NPPC","NPR2","NPPC - NPR2"
"GHRHR","GHRH","GHRHR - GHRH"
"SPARC","COL2A1","SPARC - COL2A1"
"EBAG9","EBAG9","EBAG9 - EBAG9"
"PRTN3","ITGB2","PRTN3 - ITGB2"
"SPOCK1","MMP2","SPOCK1 - MMP2"
"PRLR","PRLR","PRLR - PRLR"
"PRTN3","IL32","PRTN3 - IL32"
"PTPRK","ERBB2","PTPRK - ERBB2"
"FLT3LG","KITLG","FLT3LG - KITLG"
"NTF3","NTRK3","NTF3 - NTRK3"
"BMP1","COL7A1","BMP1 - COL7A1"
"BMP1","LAMB3","BMP1 - LAMB3"
"BMP1","LAMA3","BMP1 - LAMA3"
"BMP1","COL1A1","BMP1 - COL1A1"
"BMP1","LAMC2","BMP1 - LAMC2"
"NPPC","ADM","NPPC - ADM"
"FGFR2","EPHA4","FGFR2 - EPHA4"
"BMP1","ADRA1A","BMP1 - ADRA1A"
"FCGR3A","CD4","FCGR3A - CD4"
"LPA","FGB","LPA - FGB"
"IFNLR1","IFNLR1","IFNLR1 - IFNLR1"
"CXCL11","DPP4","CXCL11 - DPP4"
"PLXNA3","NRP1","PLXNA3 - NRP1"
"AMELX","AMELX","AMELX - AMELX"
"BMP1","CHRD","BMP1 - CHRD"
"KISS1R","KISS1","KISS1R - KISS1"
"ICAM1","ICAM1","ICAM1 - ICAM1"
"PLXNB3","SPOCK2","PLXNB3 - SPOCK2"
"FCGR2B","CRP","FCGR2B - CRP"
"F2","SERPIND1","F2 - SERPIND1"
"SEMA3A","NRP1","SEMA3A - NRP1"
"FGF13","CLEC3B","FGF13 - CLEC3B"
"NR3C1","TGFB1I1","NR3C1 - TGFB1I1"
"IGF1","IGFBP7","IGF1 - IGFBP7"
"AGR2","MUC2","AGR2 - MUC2"
"F2","F11","F2 - F11"
"F2","F5","F2 - F5"
"PLXNB3","MET","PLXNB3 - MET"
"CXCR4","CXCL12","CXCR4 - CXCL12"
"CCL2","CCR5","CCL2 - CCR5"
"GP6","FCER1G","GP6 - FCER1G"
"EPOR","EPOR","EPOR - EPOR"
"IFNLR1","IFNL2","IFNLR1 - IFNL2"
"PTPRG","MET","PTPRG - MET"
"PDGFRB","PDGFRB","PDGFRB - PDGFRB"
"PDGFRB","LRP6","PDGFRB - LRP6"
"PDGFRB","PDGFD","PDGFRB - PDGFD"
"PTPRG","ALK","PTPRG - ALK"
"PTPRG","EPOR","PTPRG - EPOR"
"NR2F2","NR2F6","NR2F2 - NR2F6"
"MST1","MST1","MST1 - MST1"
"IL2","IL2","IL2 - IL2"
"IL2","IL2RB","IL2 - IL2RB"
"APP","F2","APP - F2"
"SERPINB2","PLAU","SERPINB2 - PLAU"
"SPARC","PLG","SPARC - PLG"
"CSF3","CSF3R","CSF3 - CSF3R"
"EPOR","KLK3","EPOR - KLK3"
"SAA2","COL4A1","SAA2 - COL4A1"
"SAA2","SAA2","SAA2 - SAA2"
"FGFR1","FGF8","FGFR1 - FGF8"
"FGFR1","FGF9","FGFR1 - FGF9"
"COL10A1","COL10A1","COL10A1 - COL10A1"
"COL10A1","ANXA5","COL10A1 - ANXA5"
"PNOC","OPRL1","PNOC - OPRL1"
"CRHR2","UCN3","CRHR2 - UCN3"
"PRSS3","TFPI","PRSS3 - TFPI"
"IL17RB","IL25","IL17RB - IL25"
"APLP1","APLP1","APLP1 - APLP1"
"IL18","CASK","IL18 - CASK"
"CRHR2","CRH","CRHR2 - CRH"
"MST1","SERPINA3","MST1 - SERPINA3"
"BMPR1B","TGFBR1","BMPR1B - TGFBR1"
"CALCA","CALCA","CALCA - CALCA"
"PRTN3","ELN","PRTN3 - ELN"
"BMPR1B","ACVR2A","BMPR1B - ACVR2A"
"CNTN1","CNTN1","CNTN1 - CNTN1"
"CSF1","CSF1R","CSF1 - CSF1R"
"PTPRC","CD4","PTPRC - CD4"
"ITGAV","ITGB1","ITGAV - ITGB1"
"APLP1","CNTN4","APLP1 - CNTN4"
"ITGAV","THY1","ITGAV - THY1"
"ITGAV","EDIL3","ITGAV - EDIL3"
"NRG1","ERBB3","NRG1 - ERBB3"
"FBLN5","FBN1","FBLN5 - FBN1"
"INSR","PTPRJ","INSR - PTPRJ"
"ACAN","MMP1","ACAN - MMP1"
"ACAN","HAPLN1","ACAN - HAPLN1"
"ACAN","MMP20","ACAN - MMP20"
"SPARC","PLAT","SPARC - PLAT"
"TGFBR1","CLU","TGFBR1 - CLU"
"FMOD","TGFB3","FMOD - TGFB3"
"CCR3","CCL28","CCR3 - CCL28"
"CER1","CER1","CER1 - CER1"
"CCR3","CCL2","CCR3 - CCL2"
"TGFBR1","TGFB1","TGFBR1 - TGFB1"
"TGFBR1","TGFBR1","TGFBR1 - TGFBR1"
"TGFBR1","TGFB3","TGFBR1 - TGFB3"
"FBLN5","FBLN5","FBLN5 - FBLN5"
"IL12RB1","IL12RB2","IL12RB1 - IL12RB2"
"KLRF1","KLRF1","KLRF1 - KLRF1"
"CNTN1","NOTCH1","CNTN1 - NOTCH1"
"GABRA1","GABRQ","GABRA1 - GABRQ"
"CCR3","CCL14","CCR3 - CCL14"
"TIMP2","ITGA3","TIMP2 - ITGA3"
"FCAR","FCAR","FCAR - FCAR"
"DST","COL17A1","DST - COL17A1"
"MST1R","MST1R","MST1R - MST1R"
"TGFBR1","CUL5","TGFBR1 - CUL5"
"INSR","INSR","INSR - INSR"
"CXCL14","CXCL14","CXCL14 - CXCL14"
"NPPB","DPP4","NPPB - DPP4"
"GRIN3A","GRIN2A","GRIN3A - GRIN2A"
"TIMP2","ITGB1","TIMP2 - ITGB1"
"TIMP2","MMP8","TIMP2 - MMP8"
"LRP5","DKK1","LRP5 - DKK1"
"NPPB","FAP","NPPB - FAP"
"CHRDL2","BMP7","CHRDL2 - BMP7"
"TSPAN4","CD46","TSPAN4 - CD46"
"TSPAN4","ITGB1","TSPAN4 - ITGB1"
"ADRBK1","CCR5","ADRBK1 - CCR5"
"CD44","CD4","CD44 - CD4"
"ICAM4","ITGAV","ICAM4 - ITGAV"
"GRM2","HTR2A","GRM2 - HTR2A"
"MMP12","MMP12","MMP12 - MMP12"
"CD44","SELE","CD44 - SELE"
"CD44","IGFBP3","CD44 - IGFBP3"
"ICAM4","ITGB2","ICAM4 - ITGB2"
"ADRBK1","FSHR","ADRBK1 - FSHR"
"LOX","LOX","LOX - LOX"
"HRG","FCGR1A","HRG - FCGR1A"
"PDGFA","PDGFA","PDGFA - PDGFA"
"LTA","TNFRSF1B","LTA - TNFRSF1B"
"LTA","LTB","LTA - LTB"
"TGFB3","TGFBR3","TGFB3 - TGFBR3"
"TGFB3","LTBP3","TGFB3 - LTBP3"
"GRIN2D","CDH2","GRIN2D - CDH2"
"ELANE","ITGAM","ELANE - ITGAM"
"ELANE","CXCL12","ELANE - CXCL12"
"ELANE","LPA","ELANE - LPA"
"ELANE","THBS1","ELANE - THBS1"
"ELANE","SERPINF2","ELANE - SERPINF2"
"ELANE","CSF3R","ELANE - CSF3R"
"LRRC4","LRRC4","LRRC4 - LRRC4"
"ELANE","ELN","ELANE - ELN"
"ELANE","FCGRT","ELANE - FCGRT"
"ELANE","COL4A2","ELANE - COL4A2"
"ELANE","A2M","ELANE - A2M"
"ELANE","CTSD","ELANE - CTSD"
"ELANE","CCL15","ELANE - CCL15"
"MS4A1","CD40","MS4A1 - CD40"
"ADRBK1","SNCA","ADRBK1 - SNCA"
"ITGA2B","F2","ITGA2B - F2"
"ACKR4","CCL7","ACKR4 - CCL7"
"CD44","VCAN","CD44 - VCAN"
"SERPING1","NR4A1","SERPING1 - NR4A1"
"FGF17","FGFR2","FGF17 - FGFR2"
"MFAP2","STC2","MFAP2 - STC2"
"MFAP2","ALB","MFAP2 - ALB"
"MFAP2","SERPINE1","MFAP2 - SERPINE1"
"MFAP2","COL18A1","MFAP2 - COL18A1"
"TIMP2","MMP1","TIMP2 - MMP1"
"NTS","NTSR1","NTS - NTSR1"
"IGFBP5","SPP1","IGFBP5 - SPP1"
"ELANE","KNG1","ELANE - KNG1"
"MFAP2","BGN","MFAP2 - BGN"
"CCR2","CCL13","CCR2 - CCL13"
"TLR4","TLR4","TLR4 - TLR4"
"GRN","HSPG2","GRN - HSPG2"
"S100A13","FGF1","S100A13 - FGF1"
"NGF","NTRK1","NGF - NTRK1"
"TAC3","PTN","TAC3 - PTN"
"HLA-DOB","HLA-DOA","HLA-DOB - HLA-DOA"
"NGF","SORT1","NGF - SORT1"
"HLA-DRB1","HLA-DRA","HLA-DRB1 - HLA-DRA"
"CPN1","CPN1","CPN1 - CPN1"
"ADRA1D","ADRA1A","ADRA1D - ADRA1A"
"TIGIT","PVRL2","TIGIT - PVRL2"
"NPR3","NPPC","NPR3 - NPPC"
"HLA-A","KIR3DL2","HLA-A - KIR3DL2"
"CTSS","BGLAP","CTSS - BGLAP"
"LIFR","CTF1","LIFR - CTF1"
"LIFR","LIF","LIFR - LIF"
"PRSS1","DEFA5","PRSS1 - DEFA5"
"PRSS1","SERPINA1","PRSS1 - SERPINA1"
"BTC","ERBB4","BTC - ERBB4"
"NPR3","NPR3","NPR3 - NPR3"
"KLK6","COL4A3","KLK6 - COL4A3"
"KLK6","COL4A5","KLK6 - COL4A5"
"KLK6","COL1A1","KLK6 - COL1A1"
"AHR","ESR1","AHR - ESR1"
"AMBP","A2M","AMBP - A2M"
"MMP7","TFPI","MMP7 - TFPI"
"IFNAR1","IFNAR2","IFNAR1 - IFNAR2"
"MMP7","MMP1","MMP7 - MMP1"
"AMBP","AMBP","AMBP - AMBP"
"FGF10","POMC","FGF10 - POMC"
"MMP7","PLG","MMP7 - PLG"
"IL12B","IL12B","IL12B - IL12B"
"IL6R","IL6ST","IL6R - IL6ST"
"ALK","HSP90AA1","ALK - HSP90AA1"
"HTR2C","HTR2C","HTR2C - HTR2C"
"CASK","CASK","CASK - CASK"
"PDGFB","PDGFRA","PDGFB - PDGFRA"
"CASK","DLG1","CASK - DLG1"
"IL13RA1","IL13","IL13RA1 - IL13"
"OLFM2","ROBO2","OLFM2 - ROBO2"
"OLFM2","OLFM2","OLFM2 - OLFM2"
"TNFRSF11A","TNFSF11","TNFRSF11A - TNFSF11"
"GP1BA","GP1BB","GP1BA - GP1BB"
"FLT1","VEGFA","FLT1 - VEGFA"
"VEGFC","FLT4","VEGFC - FLT4"
"EPHA2","EFNA1","EPHA2 - EFNA1"
"MYOC","A2M","MYOC - A2M"
"MYOC","COL1A2","MYOC - COL1A2"
"FLT1","PGF","FLT1 - PGF"
"FLT1","NRP2","FLT1 - NRP2"
"MYOC","LAMA5","MYOC - LAMA5"
"MYOC","MYOC","MYOC - MYOC"
"TEK","ANGPT2","TEK - ANGPT2"
"FLT1","PTPRJ","FLT1 - PTPRJ"
"DEFA1","MMP14","DEFA1 - MMP14"
"OSM","COL4A3","OSM - COL4A3"
"CD44","CD44","CD44 - CD44"
"RARB","RXRB","RARB - RXRB"
"MMP13","COL2A1","MMP13 - COL2A1"
"VEGFC","VEGFC","VEGFC - VEGFC"
"IFNL3","IFNLR1","IFNL3 - IFNLR1"
"CD79A","CD79A","CD79A - CD79A"
"ITGB1","ITGA3","ITGB1 - ITGA3"
"TEK","ANGPTL1","TEK - ANGPTL1"
"VCP","RXRB","VCP - RXRB"
"VCP","VCP","VCP - VCP"
"ITGB1","BSG","ITGB1 - BSG"
"ITGB1","ICAM4","ITGB1 - ICAM4"
"ITGB1","SPP1","ITGB1 - SPP1"
"BGN","COL2A1","BGN - COL2A1"
"ITGB1","ITGA11","ITGB1 - ITGA11"
"ITGB1","LGALS1","ITGB1 - LGALS1"
"ITGB1","LAMA1","ITGB1 - LAMA1"
"ITGB1","CD36","ITGB1 - CD36"
"ITGB1","VCAM1","ITGB1 - VCAM1"
"WFIKKN2","GDF11","WFIKKN2 - GDF11"
"ACR","SERPINA5","ACR - SERPINA5"
"ITGAV","ITGB6","ITGAV - ITGB6"
"ITGA6","CD36","ITGA6 - CD36"
"FGFR3","FGF1","FGFR3 - FGF1"
"BGN","APP","BGN - APP"
"EPHA1","EFNA1","EPHA1 - EFNA1"
"ITGA6","ITGB4","ITGA6 - ITGB4"
"APP","APP","APP - APP"
"CD44","DMP1","CD44 - DMP1"
"TGFBR2","ENG","TGFBR2 - ENG"
"KCNIP2","KCNIP4","KCNIP2 - KCNIP4"
"WFIKKN2","BMP8B","WFIKKN2 - BMP8B"
"WFIKKN2","BMP2","WFIKKN2 - BMP2"
"ACR","ZP2","ACR - ZP2"
"ITGB8","ITGAV","ITGB8 - ITGAV"
"INSR","PTPRC","INSR - PTPRC"
"VLDLR","APOE","VLDLR - APOE"
"FCAR","FCGR1A","FCAR - FCGR1A"
"TNF","TNF","TNF - TNF"
"TACR1","TAC3","TACR1 - TAC3"
"CALR","FGB","CALR - FGB"
"CASK","NRXN2","CASK - NRXN2"
"CASK","SDC4","CASK - SDC4"
"CASK","CADM1","CASK - CADM1"
"CALR","LRP1","CALR - LRP1"
"CALR","THBS1","CALR - THBS1"
"CALR","F5","CALR - F5"
"CALR","F8","CALR - F8"
"CALR","TSHR","CALR - TSHR"
"CALR","ITGA3","CALR - ITGA3"
"PTX3","C1QB","PTX3 - C1QB"
"PTX3","FGF2","PTX3 - FGF2"
"EREG","ERBB4","EREG - ERBB4"
"CAMP","KLK7","CAMP - KLK7"
"TNFSF11","TNFRSF11A","TNFSF11 - TNFRSF11A"
"ITGAV","ADAM9","ITGAV - ADAM9"
"GRIK1","GRIK1","GRIK1 - GRIK1"
"IL2RG","IL15","IL2RG - IL15"
"AXL","IL15RA","AXL - IL15RA"
"CD44","MMP1","CD44 - MMP1"
"PGLYRP3","PGLYRP3","PGLYRP3 - PGLYRP3"
"ITGAV","ICAM4","ITGAV - ICAM4"
"ITGAV","L1CAM","ITGAV - L1CAM"
"ITGAV","SPP1","ITGAV - SPP1"
"CAMP","LBP","CAMP - LBP"
"CALR","B2M","CALR - B2M"
"CALR","CD93","CALR - CD93"
"FGFR3","FGF6","FGFR3 - FGF6"
"FGFR3","CHGB","FGFR3 - CHGB"
"FGFR3","FGF9","FGFR3 - FGF9"
"NR2C1","NR2C2","NR2C1 - NR2C2"
"TNF","TNFRSF1B","TNF - TNFRSF1B"
"SHBG","A2M","SHBG - A2M"
"FBN1","MFAP2","FBN1 - MFAP2"
